User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user115,Product2,paid,,2022-07-31 15:04:00,2022-07-31,Direct,999.0,upi,INR,
user117,Product15,Initiated,,2022-07-31 14:45:00,2022-07-31,Direct,1999.0,,INR,
user147,Product9,Initiated,,2022-07-31 14:43:00,2022-07-31,Direct,999.0,,INR,
user118,Product4,Initiated,,2022-07-31 14:37:00,2022-07-31,Direct,2022.0,,INR,
user136,Product5,Initiated,,2022-07-31 14:10:00,2022-07-31,Direct,1999.0,,INR,
user121,Product9,Initiated,,2022-07-31 13:45:00,2022-07-31,Direct,999.0,,INR,
user122,Product21,Initiated,,2022-07-31 13:35:00,2022-07-31,Influencer,2999.0,,INR,
user122,Product20,Initiated,,2022-07-31 13:34:00,2022-07-31,Influencer,1499.0,,INR,
user122,Product16,Initiated,,2022-07-31 13:30:00,2022-07-31,Influencer,1499.0,,INR,
user139,Product8,Initiated,Coupon2,2022-07-31 13:07:00,2022-07-31,Influencer,1499.0,,INR,
user150,Product5,Initiated,,2022-07-31 13:04:00,2022-07-31,Direct,1999.0,,INR,
user152,Product5,Initiated,,2022-07-31 12:42:00,2022-07-31,Direct,1999.0,,INR,
user124,Product2,Initiated,,2022-07-31 12:18:00,2022-07-31,Direct,999.0,,INR,
user164,Product1,Initiated,,2022-07-31 12:17:00,2022-07-31,Paid,3999.0,,INR,
user142,Product5,Initiated,,2022-07-31 12:12:00,2022-07-31,Direct,1999.0,,INR,
user154,Product3,paid,,2022-07-31 11:51:00,2022-07-31,Direct,1999.0,netbanking,INR,ICIC
user143,Product15,Initiated,,2022-07-31 11:50:00,2022-07-31,Direct,1999.0,,INR,
user155,Product4,Initiated,,2022-07-31 11:47:00,2022-07-31,Direct,2022.0,,INR,
user166,Product4,Initiated,,2022-07-31 11:20:00,2022-07-31,Direct,2022.0,,INR,
user157,Product2,Initiated,,2022-07-31 11:05:00,2022-07-31,Direct,999.0,,INR,
user184,Product2,paid,,2022-07-31 10:57:00,2022-07-31,Direct,999.0,upi,INR,
user160,Product4,Initiated,,2022-07-31 10:53:00,2022-07-31,Direct,2022.0,,INR,
user161,Product2,paid,,2022-07-31 10:52:00,2022-07-31,Direct,999.0,upi,INR,
user162,Product8,Initiated,,2022-07-31 10:48:00,2022-07-31,Influencer,59.0,,USD,
user168,Product18,Initiated,,2022-07-31 10:44:00,2022-07-31,Direct,1999.0,,INR,
user163,Product22,Initiated,,2022-07-31 10:42:00,2022-07-31,Direct,1499.0,,INR,
user210,Product5,Initiated,,2022-07-31 10:18:00,2022-07-31,Direct,1999.0,,INR,
user186,Product4,Initiated,,2022-07-31 10:07:00,2022-07-31,Direct,2022.0,,INR,
user212,Product19,Initiated,,2022-07-31 09:54:00,2022-07-31,Direct,2999.0,,INR,
user187,Product4,Initiated,,2022-07-31 09:52:00,2022-07-31,Direct,2022.0,,INR,
user213,Product10,Initiated,,2022-07-31 09:34:00,2022-07-31,Direct,999.0,,INR,
user188,Product8,Initiated,,2022-07-31 09:19:00,2022-07-31,Influencer,1499.0,,INR,
user189,Product4,Initiated,,2022-07-31 09:05:00,2022-07-31,Direct,2022.0,,INR,
user216,Product2,Initiated,,2022-07-31 08:55:00,2022-07-31,Direct,999.0,,INR,
